ID,NUMERO VICTIMAS,FECHA,DIA DE LA SEMANA,HORA,FRANJA HORARIA,TIPO DE CALLE,DIRECCION,TIPO DE ZONA,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,MES,DÍA
2019-0038,1,2019-05-04,Saturday,14:10:00,14,AVENIDA,"UDAONDO, GUILLERMO AV. y FIGUEROA ALCORTA, PRES. AV.",ESQUINA,13,PEATON-MOTO,PEATON,MOTO,2019,5,4
2019-0039,1,2019-05-09,Thursday,03:05:00,3,AVENIDA,SAN PEDRITO AV. y DIRECTORIO AV.,ESQUINA,7,MOTO-AUTO,MOTO,AUTO,2019,5,9
2019-0040,1,2019-05-09,Thursday,12:45:00,12,CALLE,PUAN y SANTANDER,ESQUINA,7,MOTO-SD,MOTO,,2019,5,9
2019-0041,1,2019-05-11,Saturday,20:30:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y ANDALGALA",ESQUINA,9,MULTIPLE,AUTO,MULTIPLE,2019,5,11
2019-0042,1,2019-05-14,Tuesday,15:00:00,15,CALLE,LIMA y CONSTITUCION,ESQUINA,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2019,5,14
2019-0043,1,2019-05-21,Tuesday,09:00:00,9,AVENIDA,"CORDOBA AV. y MADERO, EDUARDO AV.",ESQUINA,1,BICICLETA-CARGAS,BICICLETA,CARGAS,2019,5,21
2019-0044,1,2019-05-27,Monday,12:45:00,12,AVENIDA,BOEDO AV. 650,CUADRA,5,PEATON-MOTO,PEATON,MOTO,2019,5,27
2019-0045,1,2019-06-03,Monday,07:27:00,7,AVENIDA,DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA,ESQUINA,14,MOTO-CARGAS,MOTO,CARGAS,2019,6,3
2019-0046,1,2019-06-04,Tuesday,09:00:00,9,GRAL PAZ,"PAZ, GRAL. AV. y CABILDO AV.",AUTOPISTA,13,MOTO-AUTO,MOTO,AUTO,2019,6,4
2019-0047,1,2019-06-06,Thursday,10:00:00,10,AVENIDA,CASEROS AV. 1700,CUADRA,4,PEATON-CARGAS,PEATON,CARGAS,2019,6,6
2019-0048,1,2019-06-07,Friday,07:00:00,7,AVENIDA,AVELLANEDA AV. 1548,CUADRA,6,MOTO-CARGAS,MOTO,CARGAS,2019,6,7
2019-0049,1,2019-06-08,Saturday,09:20:00,9,CALLE,CIUDAD DE LA PAZ y MENDOZA,ESQUINA,13,PEATON-CARGAS,PEATON,CARGAS,2019,6,8
2019-0050,1,2019-06-08,Saturday,23:35:00,23,AVENIDA,"SALGUERO, JERONIMO y HONDURAS AV.",ESQUINA,14,MOTO-CARGAS,MOTO,CARGAS,2019,6,8
2019-0051,1,2019-06-11,Tuesday,10:00:00,10,CALLE,"FILIBERTO, JUAN DE DIOS y OLAVARRIA",ESQUINA,4,MOTO-AUTO,MOTO,AUTO,2019,6,11
2019-0053,1,2019-06-14,Friday,17:20:00,17,AVENIDA,ASTURIAS AV. y CASTAÃ‘ARES AV.,ESQUINA,8,AUTO-AUTO,AUTO,AUTO,2019,6,14
2019-0054,1,2019-06-20,Thursday,03:00:00,3,CALLE,GANDARA 2976,CUADRA,15,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2019,6,20
2019-0055,1,2019-06-20,Thursday,19:45:00,19,AVENIDA,"GUEVARA, TRINIDAD y MADERO, EDUARDO AV.",ESQUINA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,6,20
